0.0000   2.0000   4.0000   5.0000   3.0000 
  0.0505   1.9231   3.9231   4.6669   2.6669 
  0.1010   1.8531   3.8531   4.4042   2.4042 
  0.1515   1.7891   3.7891   4.1904   2.1904 
  0.2020   1.7303   3.7303   4.0122   2.0122 
  0.2525   1.6761   3.6761   3.8608   1.8608 
  0.3030   1.6259   3.6259   3.7303   1.7303 
  0.3535   1.5791   3.5791   3.6164   1.6164 
  0.4040   1.5356   3.5356   3.5159   1.5159 
  0.4545   1.4948   3.4948   3.4264   1.4264 
  0.5051   1.4566   3.4566   3.3462   1.3462 
  0.5556   1.4207   3.4207   3.2738   1.2738 
  0.6061   1.3868   3.3868   3.2080   1.2080 
  0.6566   1.3548   3.3548   3.1479   1.1479 
  0.7071   1.3246   3.3246   3.0928   1.0928 
  0.7576   1.2959   3.2959   3.0421   1.0421 
  0.8081   1.2686   3.2686   2.9953   0.9953 
  0.8586   1.2427   3.2427   2.9518   0.9518 
  0.9091   1.2180   3.2180   2.9114   0.9114 
  0.9596   1.1944   3.1944   2.8737   0.8737 
  1.0101   1.1719   3.1719   2.8384   0.8384 
  1.0606   1.1504   3.1504   2.8054   0.8054 
  1.1111   1.1298   3.1298   2.7743   0.7743 
  1.1616   1.1100   3.1100   2.7451   0.7451 
  1.2121   1.0911   3.0911   2.7176   0.7176 
  1.2626   1.0729   3.0729   2.6915   0.6915 
  1.3131   1.0553   3.0553   2.6669   0.6669 
  1.3636   1.0385   3.0385   2.6436   0.6436 
  1.4141   1.0222   3.0222   2.6215   0.6215 
  1.4646   1.0066   3.0066   2.6004   0.6004 
  1.5152   0.9914   2.9914   2.5804   0.5804 
  1.5657   0.9768   2.9768   2.5614   0.5614 
  1.6162   0.9627   2.9627   2.5432   0.5432 
  1.6667   0.9491   2.9491   2.5259   0.5259 
  1.7172   0.9359   2.9359   2.5093   0.5093 
  1.7677   0.9231   2.9231   2.4935   0.4935 
  1.8182   0.9107   2.9107   2.4783   0.4783 
  1.8687   0.8987   2.8987   2.4638   0.4638 
  1.9192   0.8871   2.8871   2.4498   0.4498 
  1.9697   0.8758   2.8758   2.4365   0.4365 
  2.0202   0.8648   2.8648   2.4237   0.4237 
  2.0707   0.8541   2.8541   2.4113   0.4113 
  2.1212   0.8438   2.8438   2.3995   0.3995 
  2.1717   0.8337   2.8337   2.3881   0.3881 
  2.2222   0.8239   2.8239   2.3771   0.3771 
  2.2727   0.8143   2.8143   2.3666   0.3666 
  2.3232   0.8050   2.8050   2.3564   0.3564 
  2.3737   0.7959   2.7959   2.3466   0.3466 
  2.4242   0.7871   2.7871   2.3371   0.3371 
  2.4747   0.7785   2.7785   2.3280   0.3280 
  2.5253   0.7701   2.7701   2.3191   0.3191 
  2.5758   0.7619   2.7619   2.3106   0.3106 
  2.6263   0.7539   2.7539   2.3024   0.3024 
  2.6768   0.7461   2.7461   2.2944   0.2944 
  2.7273   0.7385   2.7385   2.2867   0.2867 
  2.7778   0.7310   2.7310   2.2793   0.2793 
  2.8283   0.7237   2.7237   2.2721   0.2721 
  2.8788   0.7166   2.7166   2.2651   0.2651 
  2.9293   0.7096   2.7096   2.2583   0.2583 
  2.9798   0.7028   2.7028   2.2518   0.2518 
  3.0303   0.6961   2.6961   2.2454   0.2454 
  3.0808   0.6896   2.6896   2.2393   0.2393 
  3.1313   0.6832   2.6832   2.2333   0.2333 
  3.1818   0.6770   2.6770   2.2275   0.2275 
  3.2323   0.6708   2.6708   2.2219   0.2219 
  3.2828   0.6648   2.6648   2.2165   0.2165 
  3.3333   0.6589   2.6589   2.2112   0.2112 
  3.3838   0.6532   2.6532   2.2060   0.2060 
  3.4343   0.6475   2.6475   2.2010   0.2010 
  3.4848   0.6419   2.6419   2.1962   0.1962 
  3.5354   0.6365   2.6365   2.1915   0.1915 
  3.5859   0.6311   2.6311   2.1869   0.1869 
  3.6364   0.6259   2.6259   2.1824   0.1824 
  3.6869   0.6208   2.6208   2.1781   0.1781 
  3.7374   0.6157   2.6157   2.1739   0.1739 
  3.7879   0.6107   2.6107   2.1698   0.1698 
  3.8384   0.6059   2.6059   2.1658   0.1658 
  3.8889   0.6011   2.6011   2.1620   0.1620 
  3.9394   0.5964   2.5964   2.1582   0.1582 
  3.9899   0.5917   2.5917   2.1545   0.1545 
  4.0404   0.5872   2.5872   2.1509   0.1509 
  4.0909   0.5827   2.5827   2.1475   0.1475 
  4.1414   0.5783   2.5783   2.1441   0.1441 
  4.1919   0.5740   2.5740   2.1408   0.1408 
  4.2424   0.5698   2.5698   2.1375   0.1375 
  4.2929   0.5656   2.5656   2.1344   0.1344 
  4.3434   0.5615   2.5615   2.1314   0.1314 
  4.3939   0.5574   2.5574   2.1284   0.1284 
  4.4444   0.5535   2.5535   2.1255   0.1255 
  4.4949   0.5495   2.5495   2.1227   0.1227 
  4.5455   0.5457   2.5457   2.1199   0.1199 
  4.5960   0.5419   2.5419   2.1172   0.1172 
  4.6465   0.5381   2.5381   2.1146   0.1146 
  4.6970   0.5345   2.5345   2.1120   0.1120 
  4.7475   0.5308   2.5308   2.1095   0.1095 
  4.7980   0.5273   2.5273   2.1071   0.1071 
  4.8485   0.5237   2.5237   2.1047   0.1047 
  4.8990   0.5203   2.5203   2.1024   0.1024 
  4.9495   0.5168   2.5168   2.1002   0.1002 
  5.0000   0.5135   2.5135   2.0980   0.0980 

