0.000    1.785    4.036    5.059    2.888 
   0.051    1.754    3.953    4.830    2.648 
   0.101    1.819    3.846    4.397    2.306 
   0.152    1.879    3.904    4.111    2.050 
   0.202    1.736    3.836    4.074    1.937 
   0.253    1.714    3.594    3.811    1.891 
   0.303    1.588    3.502    3.653    1.592 
   0.354    1.597    3.656    3.720    1.389 
   0.404    1.585    3.475    3.476    1.581 
   0.455    1.534    3.445    3.484    1.309 
   0.505    1.421    3.430    3.332    1.350 
   0.556    1.449    3.326    3.140    1.182 
   0.606    1.263    3.416    3.292    1.188 
   0.657    1.379    3.360    3.151    0.923 
   0.707    1.403    3.242    3.137    1.134 
   0.758    1.363    3.384    2.949    0.980 
   0.808    1.221    3.191    2.917    1.004 
   0.859    1.092    3.249    2.941    1.146 
   0.909    1.237    3.337    2.935    1.013 
   0.960    1.074    3.261    2.924    0.707 
   1.010    1.015    3.187    2.851    0.737 
   1.061    1.023    3.117    2.650    0.816 
   1.111    1.272    3.131    2.706    0.696 
   1.162    1.125    3.166    2.740    0.675 
   1.212    0.959    3.228    2.670    0.842 
   1.263    1.091    2.988    2.673    0.837 
   1.313    0.932    3.160    2.804    0.747 
   1.364    1.140    3.084    2.670    0.583 
   1.414    1.056    2.927    2.646    0.721 
   1.465    0.897    3.127    2.679    0.625 
   1.515    1.233    3.085    2.532    0.594 
   1.566    1.034    2.950    2.760    0.442 
   1.616    0.953    3.006    2.643    0.585 
   1.667    1.025    3.103    2.492    0.559 
   1.717    0.985    2.950    2.654    0.257 
   1.768    0.912    2.968    2.551    0.637 
   1.818    0.835    2.764    2.570    0.527 
   1.869    0.967    2.821    2.265    0.553 
   1.919    0.978    2.992    2.435    0.382 
   1.970    0.947    2.759    2.441    0.318 
   2.020    0.790    2.773    2.285    0.500 
   2.071    0.808    3.035    2.478    0.556 
   2.121    0.785    2.768    2.362    0.365 
   2.172    0.896    2.776    2.249    0.355 
   2.222    0.975    2.687    2.417    0.303 
   2.273    0.917    2.636    2.349    0.307 
   2.323    0.910    2.851    2.210    0.387 
   2.374    0.546    2.952    2.367    0.275 
   2.424    0.679    2.798    2.290    0.254 
   2.475    0.942    2.851    2.218    0.259 
   2.525    0.689    2.927    2.298    0.288 
   2.576    0.766    2.817    2.320    0.381 
   2.626    0.879    2.600    2.283    0.291 
   2.677    0.563    2.684    2.415    0.258 
   2.727    0.694    2.851    2.353    0.328 
   2.778    0.879    2.699    2.281    0.371 
   2.828    0.811    2.652    2.203    0.299 
   2.879    0.533    2.735    2.234    0.301 
   2.929    0.652    2.632    2.213    0.489 
   2.980    0.697    2.710    2.257    0.286 
   3.030    0.734    2.726    2.243    0.266 
   3.081    0.621    2.771    2.221    0.275 
   3.131    0.791    2.617    2.158    0.157 
   3.182    0.515    2.650    2.250    0.328 
   3.232    0.694    2.691    2.078    0.120 
   3.283    0.744    2.641    2.175    0.135 
   3.333    0.599    2.813    2.177    0.216 
   3.384    0.744    2.723    2.149    0.174 
   3.434    0.660    2.668    2.204    0.108 
   3.485    0.645    2.602    2.206    0.012 
   3.535    0.848    2.541    2.220   -0.077 
   3.586    0.617    2.671    2.184    0.294 
   3.636    0.583    2.737    2.160    0.040 
   3.687    0.738    2.670    2.244    0.135 
   3.737    0.526    2.466    2.357    0.065 
   3.788    0.625    2.677    2.163    0.108 
   3.838    0.768    2.724    2.257    0.075 
   3.889    0.761    2.611    2.268    0.108 
   3.939    0.736    2.520    2.026    0.392 
   3.990    0.563    2.616    2.092    0.303 
   4.040    0.358    2.586    2.173    0.274 
   4.091    0.701    2.546    2.020    0.207 
   4.141    0.680    2.605    2.200    0.043 
   4.192    0.572    2.673    1.987    0.165 
   4.242    0.633    2.768    2.131    0.013 
   4.293    0.658    2.677    2.105    0.140 
   4.343    0.564    2.703    2.155    0.105 
   4.394    0.581    2.514    2.081    0.133 
   4.444    0.606    2.582    2.056    0.044 
   4.495    0.551    2.474    1.967    0.227 
   4.545    0.645    2.441    2.176    0.112 
   4.596    0.496    2.482    2.238    0.111 
   4.646    0.472    2.623    2.130    0.133 
   4.697    0.482    2.441    1.972    0.233 
   4.747    0.542    2.496    2.174   -0.047 
   4.798    0.455    2.640    2.010   -0.030 
   4.848    0.611    2.507    2.266    0.144 
   4.899    0.673    2.570    1.989   -0.008 
   4.949    0.456    2.496    2.047   -0.052 
   5.000    0.425    2.677    2.088    0.177 
